Gender,ASJC_2d,Country,Early,Mid,Late,NoAuthors
male,13,United States,Middle,Bottom,Middle,398
female,13,United Kingdom,Bottom,Bottom,Middle,44
female,13,France,Middle,Middle,Middle,502
female,13,United States,Bottom,Middle,Middle,364
male,13,United States,Middle,Middle,Middle,3221
female,13,Norway,Middle,Middle,Middle,24
male,13,Sweden,Middle,Middle,Middle,125
male,13,United Kingdom,Middle,Middle,Middle,692
male,13,Japan,Top,Middle,Middle,357
male,13,France,Top,Middle,Middle,107
male,13,Germany,Middle,Middle,Middle,601
male,13,Japan,Middle,Middle,Middle,1275
male,13,France,Top,Top,Middle,40
male,13,Germany,Middle,Bottom,Middle,68
female,13,Italy,Bottom,Bottom,Middle,96
male,13,Japan,Middle,Bottom,Middle,143
female,13,Israel,Bottom,Bottom,Middle,22
male,13,Germany,Bottom,Bottom,Middle,44
male,13,Spain,Middle,Bottom,Middle,48
male,13,United States,Bottom,Bottom,Middle,377
male,13,France,Bottom,Bottom,Middle,57
male,13,France,Middle,Bottom,Middle,91
male,13,United Kingdom,Middle,Bottom,Middle,95
male,13,France,Middle,Middle,Middle,697
male,13,Spain,Bottom,Middle,Middle,50
female,13,Austria,Bottom,Middle,Middle,14
male,13,United States,Top,Middle,Middle,667
male,13,Canada,Middle,Middle,Middle,397
male,13,France,Bottom,Middle,Middle,98
female,13,Canada,Middle,Middle,Middle,141
female,13,United States,Middle,Middle,Middle,1431
female,13,Japan,Bottom,Middle,Middle,43
male,13,Italy,Middle,Top,Middle,29
male,13,Japan,Middle,Top,Middle,151
male,13,Japan,Bottom,Bottom,Middle,167
female,13,France,Middle,Bottom,Middle,90
female,13,Italy,Middle,Bottom,Middle,116
female,13,Italy,Middle,Middle,Middle,748
male,13,United States,Bottom,Middle,Middle,586
male,13,Germany,Bottom,Middle,Middle,82
male,13,Canada,Bottom,Middle,Middle,50
male,13,United Kingdom,Top,Middle,Middle,191
female,13,Spain,Bottom,Bottom,Middle,32
male,13,Japan,Bottom,Middle,Middle,214
female,13,Italy,Bottom,Middle,Middle,161
female,13,France,Top,Middle,Middle,44
female,13,Poland,Bottom,Bottom,Middle,32
female,13,Netherlands,Middle,Middle,Middle,59
male,13,United Kingdom,Bottom,Middle,Middle,106
female,13,Israel,Middle,Middle,Middle,85
male,13,Israel,Top,Middle,Middle,25
female,13,United Kingdom,Middle,Bottom,Middle,58
male,13,Mexico,Bottom,Bottom,Middle,34
female,13,Australia,Middle,Middle,Middle,118
female,13,Spain,Middle,Middle,Middle,249
female,13,Israel,Top,Middle,Middle,6
male,13,Italy,Middle,Middle,Middle,428
male,13,United Kingdom,Bottom,Bottom,Middle,92
male,13,Denmark,Bottom,Bottom,Middle,10
male,13,Israel,Middle,Bottom,Middle,11
male,13,Czech Republic,Bottom,Middle,Middle,16
female,13,Japan,Middle,Middle,Middle,208
female,13,United Kingdom,Middle,Middle,Middle,302
male,13,Canada,Top,Middle,Middle,61
female,13,United States,Top,Middle,Middle,171
male,13,Japan,Top,Top,Middle,184
male,13,Canada,Bottom,Bottom,Middle,20
male,13,United Kingdom,Top,Bottom,Middle,6
female,13,Switzerland,Bottom,Bottom,Middle,15
male,13,Netherlands,Middle,Middle,Middle,177
female,13,Germany,Bottom,Bottom,Middle,33
female,13,Denmark,Bottom,Bottom,Middle,4
female,13,Mexico,Bottom,Bottom,Middle,29
female,13,Japan,Bottom,Bottom,Middle,34
female,13,Belgium,Middle,Bottom,Middle,9
male,13,Switzerland,Bottom,Middle,Middle,27
female,13,Portugal,Middle,Middle,Middle,42
male,13,New Zealand,Top,Top,Middle,1
male,13,Italy,Bottom,Bottom,Middle,50
male,13,Switzerland,Bottom,Bottom,Middle,11
male,13,Italy,Middle,Bottom,Middle,66
male,13,Australia,Bottom,Middle,Middle,40
female,13,Germany,Bottom,Middle,Middle,62
female,13,Denmark,Top,Middle,Middle,3
female,13,United States,Top,Top,Middle,100
female,13,Poland,Middle,Middle,Middle,85
male,13,Israel,Middle,Middle,Middle,104
male,13,Netherlands,Top,Middle,Middle,26
male,13,United States,Top,Top,Middle,533
female,13,Australia,Bottom,Bottom,Middle,16
male,13,Japan,Top,Bottom,Middle,11
female,13,Spain,Bottom,Middle,Middle,48
female,13,Germany,Middle,Middle,Middle,219
male,13,Israel,Top,Top,Middle,15
male,13,Sweden,Top,Top,Middle,23
male,13,South Korea,Middle,Middle,Middle,121
male,13,Spain,Middle,Middle,Middle,375
female,13,Canada,Top,Middle,Middle,14
female,13,France,Bottom,Middle,Middle,131
male,13,Belgium,Middle,Top,Middle,12
male,13,France,Middle,Top,Middle,48
female,13,Japan,Middle,Bottom,Middle,29
male,13,Netherlands,Middle,Bottom,Middle,20
female,13,Spain,Middle,Bottom,Middle,39
female,13,Austria,Middle,Bottom,Middle,5
male,13,New Zealand,Top,Middle,Middle,8
female,13,Finland,Middle,Middle,Middle,40
male,13,Denmark,Bottom,Middle,Middle,11
male,13,Belgium,Top,Middle,Middle,13
male,13,United States,Middle,Top,Middle,386
female,13,Canada,Middle,Bottom,Middle,18
female,13,Hungary,Bottom,Bottom,Middle,11
female,13,Greece,Bottom,Middle,Middle,9
female,13,Hungary,Middle,Middle,Middle,12
female,13,United Kingdom,Bottom,Middle,Middle,60
male,13,Germany,Top,Middle,Middle,152
male,13,Switzerland,Middle,Middle,Middle,123
female,13,Netherlands,Bottom,Bottom,Middle,15
male,13,Finland,Middle,Bottom,Middle,5
male,13,Australia,Middle,Bottom,Middle,18
female,13,United Kingdom,Top,Bottom,Middle,6
female,13,Japan,Top,Middle,Middle,46
male,13,Poland,Bottom,Bottom,Middle,33
female,13,Sweden,Middle,Middle,Middle,48
male,13,Hungary,Middle,Middle,Middle,43
female,13,Belgium,Bottom,Bottom,Middle,10
male,13,Turkey,Middle,Middle,Middle,14
male,13,Spain,Bottom,Bottom,Middle,30
male,13,Greece,Middle,Middle,Middle,53
male,13,South Korea,Bottom,Middle,Middle,25
male,13,Belgium,Bottom,Middle,Middle,16
female,13,United Kingdom,Top,Top,Middle,25
male,13,United States,Top,Bottom,Middle,24
male,13,Portugal,Bottom,Bottom,Middle,8
male,13,Greece,Bottom,Middle,Middle,17
female,13,New Zealand,Bottom,Bottom,Middle,9
male,13,Belgium,Middle,Middle,Middle,73
male,13,Ireland,Middle,Middle,Middle,33
male,13,Italy,Top,Middle,Middle,92
male,13,Slovakia,Middle,Middle,Middle,8
female,13,New Zealand,Middle,Middle,Middle,24
male,13,Switzerland,Top,Top,Middle,25
male,13,Italy,Top,Top,Middle,36
male,13,Hungary,Bottom,Bottom,Middle,10
male,13,Turkey,Middle,Bottom,Middle,3
male,13,Australia,Middle,Middle,Middle,215
male,13,New Zealand,Middle,Bottom,Middle,5
male,13,Israel,Bottom,Bottom,Middle,7
female,13,Belgium,Middle,Middle,Middle,48
male,13,Portugal,Middle,Middle,Middle,42
female,13,Norway,Middle,Bottom,Middle,6
male,13,Canada,Middle,Bottom,Middle,37
female,13,Germany,Top,Middle,Middle,30
female,13,Czech Republic,Middle,Bottom,Middle,2
male,13,Netherlands,Bottom,Middle,Middle,44
female,13,Mexico,Bottom,Middle,Middle,22
male,13,Netherlands,Bottom,Bottom,Middle,15
female,13,Netherlands,Middle,Bottom,Middle,11
female,13,Portugal,Bottom,Middle,Middle,21
male,13,South Korea,Bottom,Top,Middle,5
female,13,Germany,Top,Top,Middle,21
male,13,Poland,Bottom,Middle,Middle,36
female,13,Turkey,Bottom,Middle,Middle,9
male,13,Austria,Middle,Middle,Middle,81
male,13,Chile,Bottom,Middle,Middle,12
male,13,New Zealand,Middle,Middle,Middle,51
male,13,Hungary,Middle,Bottom,Middle,6
male,13,Australia,Bottom,Bottom,Middle,15
male,13,Hungary,Bottom,Middle,Middle,10
male,13,New Zealand,Bottom,Bottom,Middle,7
female,13,Chile,Bottom,Middle,Middle,10
female,13,Denmark,Middle,Bottom,Middle,5
male,13,Colombia,Middle,Middle,Middle,5
male,13,Canada,Top,Top,Middle,53
female,13,Finland,Bottom,Bottom,Middle,5
female,13,Ireland,Middle,Middle,Middle,13
female,13,Poland,Bottom,Middle,Middle,36
female,13,United Kingdom,Top,Middle,Middle,50
female,13,Canada,Bottom,Middle,Middle,38
male,13,Italy,Bottom,Middle,Middle,83
male,13,Lithuania,Bottom,Middle,Middle,2
female,13,Sweden,Bottom,Bottom,Middle,13
female,13,Poland,Middle,Bottom,Middle,14
male,13,Belgium,Middle,Bottom,Middle,8
female,13,Australia,Bottom,Middle,Middle,35
female,13,Australia,Middle,Bottom,Middle,13
female,13,Czech Republic,Bottom,Middle,Middle,5
male,13,Denmark,Middle,Middle,Middle,55
male,13,United Kingdom,Middle,Top,Middle,68
female,13,France,Top,Top,Middle,11
female,13,Finland,Middle,Bottom,Middle,8
male,13,Turkey,Bottom,Bottom,Middle,2
male,13,Mexico,Middle,Middle,Middle,73
male,13,Mexico,Bottom,Middle,Middle,21
male,13,Norway,Middle,Bottom,Middle,6
female,13,Turkey,Bottom,Bottom,Middle,2
male,13,Ireland,Middle,Bottom,Middle,3
male,13,Poland,Middle,Middle,Middle,75
male,13,Norway,Middle,Middle,Middle,60
female,13,New Zealand,Bottom,Middle,Middle,10
male,13,Germany,Top,Top,Middle,103
female,13,Greece,Bottom,Bottom,Middle,5
male,13,South Korea,Middle,Bottom,Middle,5
male,13,Ireland,Top,Middle,Middle,7
female,13,Israel,Middle,Bottom,Middle,7
male,13,New Zealand,Bottom,Middle,Middle,12
male,13,Poland,Middle,Bottom,Middle,12
male,13,Czech Republic,Bottom,Bottom,Middle,5
male,13,Chile,Middle,Middle,Middle,30
male,13,South Korea,Bottom,Bottom,Middle,7
male,13,Norway,Top,Middle,Middle,7
male,13,South Korea,Top,Middle,Middle,38
female,13,Portugal,Bottom,Bottom,Middle,11
male,13,Colombia,Bottom,Bottom,Middle,3
female,13,Israel,Bottom,Middle,Middle,25
female,13,Chile,Middle,Middle,Middle,15
male,13,Sweden,Top,Middle,Middle,25
male,13,Finland,Top,Middle,Middle,9
male,13,Slovenia,Middle,Bottom,Middle,1
male,13,Colombia,Bottom,Middle,Middle,3
male,13,Slovakia,Bottom,Bottom,Middle,3
male,13,Slovenia,Bottom,Middle,Middle,2
female,13,Denmark,Middle,Middle,Middle,23
male,13,Chile,Middle,Bottom,Middle,5
female,13,Estonia,Bottom,Middle,Middle,2
female,13,Slovakia,Bottom,Middle,Middle,3
male,13,United Kingdom,Top,Top,Middle,122
male,13,Netherlands,Top,Bottom,Middle,1
male,13,Austria,Bottom,Bottom,Middle,5
female,13,France,Top,Bottom,Middle,1
